trials_square_2.thisRepN,trials_square_2.thisTrialN,trials_square_2.thisN,trials_square_2.thisIndex,trials_square.thisRepN,trials_square.thisTrialN,trials_square.thisN,trials_square.thisIndex,trials_square_rec.thisRepN,trials_square_rec.thisTrialN,trials_square_rec.thisN,trials_square_rec.thisIndex,trials_prac2.thisRepN,trials_prac2.thisTrialN,trials_prac2.thisN,trials_prac2.thisIndex,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,text.started,key_resp.started,mouse_4.started,key_resp.keys,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,text_8.started,key_resp_8.started,mouse_5.started,key_resp_8.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,text_level_1.started,text_level_2.started,text_level_1.stopped,text_level_2.stopped,fixation2.started,fixation2.stopped,grid.started,square_rand.started,grid.stopped,square_rand.stopped,squareShown,text_9.started,grid2.started,mouse.started,square_0.started,square_1.started,square_2.started,square_3.started,square_4.started,square_5.started,square_6.started,square_7.started,square_8.started,square_9.started,square_10.started,square_11.started,square_12.started,square_13.started,square_14.started,square_15.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_10.started,grid3.started,square_16.started,square_17.started,square_18.started,square_19.started,square_20.started,square_21.started,square_22.started,square_23.started,square_24.started,square_25.started,square_26.started,square_27.started,square_28.started,square_29.started,square_30.started,square_31.started,text_10.stopped,grid3.stopped,square_16.stopped,square_17.stopped,square_18.stopped,square_19.stopped,square_20.stopped,square_21.stopped,square_22.stopped,square_23.stopped,square_24.stopped,square_25.stopped,square_26.stopped,square_27.stopped,square_28.stopped,square_29.stopped,square_30.stopped,square_31.stopped,text_result_squares.started,text_end_prac.started,mouse_2.started,key_resp_13.started,number_of_correct_squares_clicked,total_squares_clicked,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,key_resp_13.keys,text_square_end.started,text_11.started,key_resp_9.started,mouse_3.started,key_resp_9.keys,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,text_2.started,key_resp_2.started,mouse_6.started,key_resp_2.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,text_3.started,image_sym.started,text_sym_nsym.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_4.started,image.started,text_sym_nsym_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,fixation.started,fixation.stopped,image_2.started,text_sym_nsym_3.started,text_countdown.started,text_how_many_correct.started,key_resp_6.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,13.26554930000566,13.26554930000566,4.2000028770416975e-05,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
,,,,,,,,,,,,,,,,,,,,,,,,[-0.31666666666666665],[0.075],[1],[0],[0],[0.5390361999743618],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.798793800000567,13.798793800000567,2.3900007363408804e-05,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.20925925925925926],[0.05555555555555555],[1],[0],[0],[0.34806180000305176],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.148964899999555,14.148964899999555,16.149611700035166,16.149611700035166,16.149611700035166,16.649200099986047,16.649200099986047,16.649200099986047,17.300994199991692,17.300994199991692,square_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.300994199991692,17.801364200015087,17.801364200015087,17.801364200015087,18.452853200025856,18.452853200025856,square_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.452853200025856,18.452853200025856,-0.0006564000505022705,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,18.452853200025856,[0.05555555555555555],[-0.2037037037037037],[1],[0],[0],[0.5520736999460496],['square_14'],19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,19.01502230000915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.21461010002531,19.21461010002531,0.01680149993626401,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,19.21461010002531,[-0.044444444444444446],[-0.07314814814814814],[1],[0],[0],[0.1429573000059463],['square_9'],19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.36472860001959,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,19.581536900019273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.581536900019273,19.581536900019273,0.007250400027260184,19.581536900019273,2,2,[0.1537037037037037],[-0.2064814814814815],[1],[0],[0],[0.5462427000165917],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.131610100041144,20.131610100041144,22.131229799997527,22.131229799997527,22.131229799997527,22.63110699999379,22.63110699999379,22.63110699999379,23.280998400005046,23.280998400005046,square_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
